,1,2,3,4,5
1,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,6,0,9,0,7
2,1,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
23,0,0,0,0,0
24,2,0,1,0,3
32,0,0,0,0,0
33,1,0,0,0,0
38,1,0,0,0,3
39,0,0,0,0,0
40,1,0,0,0,1
42,4,0,0,0,0
43,1,0,2,0,8
44,0,0,1,0,0
47,1,0,0,0,0
48,8,0,2,0,2
50,6,0,1,0,3
51,1,0,0,0,0
52,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,4,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,2,0,0
61,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,1,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,1
69,0,0,0,0,0
70,0,0,0,0,0
73,0,0,0,0,0
76,0,0,1,0,0
77,0,0,0,0,0
79,0,0,0,0,2
80,1,0,2,0,0
82,0,0,0,0,0
83,0,0,0,0,0
86,1,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,2,0,0,0,3
91,0,0,0,0,0
92,0,0,0,0,0
93,2,0,0,0,0
94,0,0,0,0,0
95,0,0,1,0,0
B1_1,1,3,0,7,4
B1_10,1,2,0,0,0
B1_2,0,0,0,0,0
B1_3,0,0,0,0,0
B1_4,0,0,0,0,0
B1_5,0,0,0,0,0
B1_6,0,0,0,0,0
B1_7,5,2,11,5,3
B1_8,0,0,0,0,0
B1_9,0,0,0,0,0
B2_1,0,0,0,0,0
B2_10,1,2,2,2,2
B2_2,0,0,0,0,0
B2_4,2,1,0,0,0
B2_5,0,0,0,0,0
B2_6,0,0,0,0,0
B2_7,0,0,0,0,0
B2_8,0,0,0,0,0
B2_9,3,1,0,0,1
B3_1,0,1,0,1,0
B3_10,2,4,4,4,2
B3_2,0,0,0,0,0
B3_3,0,0,0,0,0
B3_4,0,0,0,0,0
B3_5,0,0,0,0,0
B3_6,0,0,0,1,0
B3_7,0,0,1,0,1
B3_8,0,0,0,0,0
B3_9,0,0,0,0,0
B4_1,0,0,1,0,0
B4_10,0,0,0,0,0
B4_2,0,0,0,0,1
B4_3,0,0,0,1,0
B4_4,0,0,0,0,0
B4_6,3,2,3,1,2
B4_7,0,0,0,0,0
B4_8,0,0,0,0,0
B4_9,0,0,0,0,0
IL1_1,4,4,9,11,5
IL1_10,0,0,0,0,0
IL1_3,0,0,0,0,0
IL1_4,8,0,0,5,0
IL1_5,0,0,0,0,0
IL1_8,0,0,0,0,2
IL1_9,0,1,1,0,1
IL2_1,1,0,0,3,0
IL2_10,2,0,1,1,2
IL2_2,0,0,0,0,0
IL2_3,1,1,0,0,0
IL2_4,0,0,0,0,0
IL2_5,0,0,0,0,0
IL2_7,2,2,5,3,7
IL2_8,4,4,0,1,0
IL2_9,0,0,0,0,0
IL3_1,0,0,0,0,0
IL3_10,6,2,1,6,1
IL3_2,0,2,2,3,4
IL3_3,0,0,0,0,0
IL3_4,3,8,7,3,2
IL3_6,3,1,4,5,1
IL3_7,0,0,0,4,0
IL3_9,6,3,4,6,3
IL4_10,0,9,4,1,3
IL4_2,0,0,1,0,0
IL4_3,0,0,0,0,0
IL4_4,0,0,0,0,0
IL4_5,0,0,0,1,0
IL4_7,0,0,0,0,0
IL4_8,0,1,0,1,0
IL4_9,0,1,0,0,0
M1_1,0,0,0,0,0
M1_10,0,0,0,0,0
M1_2,4,1,2,0,0
M1_4,0,0,0,0,1
M1_5,0,0,0,2,1
M1_6,0,0,0,0,0
M1_7,0,0,0,0,0
M1_8,0,0,0,0,0
M2_1,1,1,1,0,0
M2_10,1,0,0,0,0
M2_3,0,0,0,0,0
M2_5,0,0,0,0,0
M2_6,0,0,0,0,0
M2_7,0,0,0,0,0
M2_8,0,0,0,0,0
M2_9,0,0,0,0,0
M3_1,0,0,0,0,0
M3_2,0,0,1,0,3
M3_3,2,0,0,0,0
M3_5,0,0,0,0,0
M3_7,0,0,0,2,0
M3_8,0,0,0,0,0
M4_2,0,2,3,0,0
M4_3,0,0,0,0,0
M4_4,0,0,0,0,0
M4_5,0,0,0,0,0
M4_6,2,0,0,0,0
M4_7,0,0,0,0,0
M4_9,6,7,6,3,13
