"","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"B1_1",5.45454545454545,16.3636363636364,41.8181818181818,9.09090909090909,0
"B1_10",0,28.9473684210526,60.5263157894737,0,0
"B1_2",0,28.5714285714286,28.5714285714286,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,100,0,0
"B1_5",0,28.5714285714286,64.2857142857143,7.14285714285714,0
"B1_6",0,33.3333333333333,43.75,16.6666666666667,4.16666666666667
"B1_7",0,2.60869565217391,26.9565217391304,13.9130434782609,0
"B1_8",0,100,0,0,0
"B1_9",0,34.6153846153846,57.6923076923077,7.69230769230769,0
"B2_1",NA,NA,NA,NA,NA
"B2_10",0,16.6666666666667,45.8333333333333,0,0
"B2_2",0,35,58.75,5,0
"B2_4",0,43.6363636363636,40,0,0
"B2_5",0,23.0769230769231,48.0769230769231,7.69230769230769,0
"B2_6",0,40,20,0,0
"B2_7",0,31.0344827586207,55.1724137931034,6.89655172413793,0
"B2_8",0,50,50,0,0
"B2_9",0,30.5084745762712,55.9322033898305,5.08474576271187,0
"B3_1",0,22.2222222222222,44.4444444444444,2.22222222222222,0
"B3_10",0,10.5263157894737,17.8947368421053,1.05263157894737,0
"B3_2",0,33.3333333333333,56.4102564102564,0,0
"B3_3",NA,NA,NA,NA,NA
"B3_4",0,100,0,0,0
"B3_5",0,0,0,0,0
"B3_6",0,19.1176470588235,63.2352941176471,14.7058823529412,0
"B3_7",0,43.3333333333333,40,6.66666666666667,0
"B3_8",0,33.3333333333333,16.6666666666667,0,0
"B3_9",NA,NA,NA,NA,NA
"B4_1",0,18.75,62.5,0,0
"B4_10",0,23.8095238095238,76.1904761904762,0,0
"B4_2",0,26.3157894736842,26.3157894736842,0,0
"B4_3",0,14.5454545454545,38.1818181818182,14.5454545454545,0
"B4_4",0,31.0344827586207,65.5172413793103,3.44827586206897,0
"B4_6",0,20.5882352941176,35.2941176470588,8.82352941176471,0
"B4_7",0,100,0,0,0
"B4_8",NA,NA,NA,NA,NA
"B4_9",0,20,46.6666666666667,0,0
"IL1_1",0,6.94444444444444,18.0555555555556,6.94444444444444,0
"IL1_10",0,50,33.3333333333333,16.6666666666667,0
"IL1_3",NA,NA,NA,NA,NA
"IL1_4",0,16.25,22.5,1.25,1.25
"IL1_5",0,35.2941176470588,47.0588235294118,0,0
"IL1_8",0,7.69230769230769,53.8461538461538,15.3846153846154,0
"IL1_9",0,5.40540540540541,8.10810810810811,2.7027027027027,0
"IL2_1",0,12.5,40.625,0,0
"IL2_10",0,27.9411764705882,57.3529411764706,2.94117647058824,0
"IL2_2",NA,NA,NA,NA,NA
"IL2_3",5.45454545454545,25.4545454545455,23.6363636363636,3.63636363636364,0
"IL2_4",0,50,50,0,0
"IL2_5",NA,NA,NA,NA,NA
"IL2_7",0,5.12820512820513,28.2051282051282,5.12820512820513,0
"IL2_8",0,13.0434782608696,26.0869565217391,0,0
"IL2_9",10.8108108108108,62.1621621621622,24.3243243243243,2.7027027027027,0
"IL3_1",0,59.375,37.5,0,0
"IL3_10",0,8.57142857142857,34.2857142857143,8.57142857142857,0
"IL3_2",0,7.54716981132075,18.8679245283019,3.77358490566038,0
"IL3_3",0,18.1818181818182,77.2727272727273,4.54545454545455,0
"IL3_4",0,10.1010101010101,17.1717171717172,1.01010101010101,0
"IL3_6",1.25,12.5,13.75,0,0
"IL3_7",0,28.125,40.625,0,0
"IL3_9",0,10.3896103896104,28.5714285714286,1.2987012987013,0
"IL4_10",0,6.66666666666667,31.1111111111111,2.22222222222222,0
"IL4_2",0,19.5121951219512,48.780487804878,12.1951219512195,0
"IL4_3",0,41.6666666666667,58.3333333333333,0,0
"IL4_4",0,54.5454545454545,27.2727272727273,0,0
"IL4_5",0,33.3333333333333,28.5714285714286,0,0
"IL4_7",0,21.1538461538462,65.3846153846154,13.4615384615385,0
"IL4_8",0,7.69230769230769,5.12820512820513,0,0
"IL4_9",0,40.4761904761905,54.7619047619048,0,0
"M1_1",0,0,0,0,0
"M1_10",0,22.2222222222222,77.7777777777778,0,0
"M1_2",0,9.09090909090909,38.961038961039,3.8961038961039,0
"M1_4",0,16.6666666666667,75,0,0
"M1_5",0,27.6595744680851,38.2978723404255,14.8936170212766,0
"M1_6",NA,NA,NA,NA,NA
"M1_7",0,0,0,0,0
"M1_8",NA,NA,NA,NA,NA
"M2_1",0,16.3636363636364,54.5454545454545,3.63636363636364,0
"M2_10",NA,NA,NA,NA,NA
"M2_3",0,38.5964912280702,59.6491228070175,1.75438596491228,0
"M2_5",NA,NA,NA,NA,NA
"M2_6",NA,NA,NA,NA,NA
"M2_7",NA,NA,NA,NA,NA
"M2_8",0,25,75,0,0
"M2_9",0,33.3333333333333,33.3333333333333,25,0
"M3_1",NA,NA,NA,NA,NA
"M3_2",0,16.3934426229508,52.4590163934426,8.19672131147541,0
"M3_3",0,16.6666666666667,63.8888888888889,2.77777777777778,0
"M3_5",0,26.25,63.75,10,0
"M3_7",0,0,33.3333333333333,0,0
"M3_8",0,22,70,8,0
"M4_2",0,38.4615384615385,34.6153846153846,0,0
"M4_3",0,19.4444444444444,66.6666666666667,0,0
"M4_4",0,0,100,0,0
"M4_5",NA,NA,NA,NA,NA
"M4_6",0,17.8571428571429,66.0714285714286,7.14285714285714,0
"M4_7",0,22.7272727272727,45.4545454545455,4.54545454545455,0
"M4_9",0,3.27868852459016,4.91803278688525,1.63934426229508,0
