"Plot","A","B","C","D","E"
"B1_1",3,9,23,5,0
"B1_10",0,11,23,0,0
"B1_2",0,2,2,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,1,0,0
"B1_5",0,4,9,1,0
"B1_6",0,16,21,8,2
"B1_7",0,3,31,16,0
"B1_8",0,1,0,0,0
"B1_9",0,18,30,4,0
"B2_1",0,0,0,0,0
"B2_10",0,8,22,0,0
"B2_2",0,28,47,4,0
"B2_4",0,24,22,0,0
"B2_5",0,12,25,4,0
"B2_6",0,2,1,0,0
"B2_7",0,9,16,2,0
"B2_8",0,1,1,0,0
"B2_9",0,18,33,3,0
"B3_1",0,10,20,1,0
"B3_10",0,10,17,1,0
"B3_2",0,13,22,0,0
"B3_3",0,0,0,0,0
"B3_4",0,2,0,0,0
"B3_5",0,0,0,0,0
"B3_6",0,13,43,10,0
"B3_7",0,26,24,4,0
"B3_8",0,4,2,0,0
"B3_9",0,0,0,0,0
"B4_1",0,6,20,0,0
"B4_10",0,10,32,0,0
"B4_2",0,5,5,0,0
"B4_3",0,8,21,8,0
"B4_4",0,9,19,1,0
"B4_6",0,7,12,3,0
"B4_7",0,1,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,3,7,0,0
"IL1_1",0,5,13,5,0
"IL1_10",0,3,2,1,0
"IL1_3",0,0,0,0,0
"IL1_4",0,13,18,1,1
"IL1_5",0,6,8,0,0
"IL1_8",0,1,7,2,0
"IL1_9",0,2,3,1,0
"IL2_1",0,4,13,0,0
"IL2_10",0,19,39,2,0
"IL2_2",0,0,0,0,0
"IL2_3",3,14,13,2,0
"IL2_4",0,5,5,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,4,22,4,0
"IL2_8",0,3,6,0,0
"IL2_9",4,23,9,1,0
"IL3_1",0,19,12,0,0
"IL3_10",0,3,12,3,0
"IL3_2",0,4,10,2,0
"IL3_3",0,8,34,2,0
"IL3_4",0,10,17,1,0
"IL3_6",1,10,11,0,0
"IL3_7",0,9,13,0,0
"IL3_9",0,8,22,1,0
"IL4_10",0,3,14,1,0
"IL4_2",0,8,20,5,0
"IL4_3",0,5,7,0,0
"IL4_4",0,6,3,0,0
"IL4_5",0,7,6,0,0
"IL4_7",0,11,34,7,0
"IL4_8",0,6,4,0,0
"IL4_9",0,17,23,0,0
"M1_1",0,0,0,0,0
"M1_10",0,2,7,0,0
"M1_2",0,7,30,3,0
"M1_4",0,2,9,0,0
"M1_5",0,13,18,7,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",0,9,30,2,0
"M2_10",0,0,0,0,0
"M2_3",0,22,34,1,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,1,3,0,0
"M2_9",0,4,4,3,0
"M3_1",0,0,0,0,0
"M3_2",0,10,32,5,0
"M3_3",0,6,23,1,0
"M3_5",0,21,51,8,0
"M3_7",0,0,1,0,0
"M3_8",0,11,35,4,0
"M4_2",0,10,9,0,0
"M4_3",0,7,24,0,0
"M4_4",0,0,2,0,0
"M4_5",0,0,0,0,0
"M4_6",0,10,37,4,0
"M4_7",0,5,10,1,0
"M4_9",0,4,6,2,0
