Plot,Elevation,Class
B1_1,1895.879054,1
B1_10,1887.039746,1
B1_2,1874.542794,1
B1_3,1876.981224,1
B1_4,1885.820532,2
B1_5,1882.772495,2
B1_6,1880.029261,1
B1_7,1891.611802,1
B1_8,1873.32358,2
B1_9,1892.221409,2
B2_1,1880.943672,3
B2_10,1880.334065,1
B2_2,1881.55328,1
B2_4,1896.488661,1
B2_5,1876.066813,1
B2_6,1876.981224,1
B2_7,1865.703487,1
B2_8,1878.810046,2
B2_9,1894.355035,1
B3_1,1866.617898,1
B3_10,1895.57425,1
B3_2,1890.392587,1
B3_3,1877.895635,3
B3_4,1873.628383,2
B3_5,1893.745428,1
B3_6,1867.837113,1
B3_7,1874.847598,1
B3_8,1878.200439,1
B3_9,1874.847598,3
B4_1,1888.258961,1
B4_10,1874.542794,2
B4_2,1881.248476,1
B4_3,1877.590832,1
B4_4,1890.697391,2
B4_6,1880.638869,1
B4_7,1877.590832,2
B4_8,1888.258961,3
B4_9,1891.611802,1
IL1_1,1871.189954,1
IL1_10,1878.200439,2
IL1_3,1884.90612,3
IL1_4,1878.505243,1
IL1_5,1875.762009,1
IL1_8,1876.981224,1
IL1_9,1863.874665,1
IL2_1,1862.045842,1
IL2_10,1873.018776,1
IL2_2,1879.11485,3
IL2_3,1887.649354,1
IL2_4,1876.67642,2
IL2_5,1869.970739,3
IL2_7,1875.457206,1
IL2_8,1891.306998,1
IL3_1,1887.649354,1
IL3_10,1885.515728,1
IL3_2,1884.90612,1
IL3_3,1875.762009,2
IL3_4,1905.937576,1
IL3_6,1889.478176,1
IL3_7,1884.90612,1
IL3_9,1877.895635,1
IL4_10,1895.879054,1
IL4_2,1867.837113,1
IL4_3,1882.772495,2
IL4_4,1893.745428,1
IL4_5,1870.88515,1
IL4_7,1869.056328,2
IL4_8,1885.515728,1
IL4_9,1888.258961,1
M1_1,1890.697391,1
M1_10,1878.810046,2
M1_2,1894.964643,1
M1_4,1888.258961,1
M1_5,1863.874665,1
M1_6,1894.659839,3
M1_7,1894.964643,1
M1_8,1875.152402,3
M2_1,1872.713972,1
M2_10,1883.686906,3
M2_3,1864.179468,2
M2_5,1892.831017,3
M2_6,1859.607413,3
M2_7,1873.32358,3
M2_8,1885.820532,2
M2_9,1894.964643,1
M3_1,1875.457206,3
M3_2,1881.858083,1
M3_3,1871.799561,1
M3_5,1874.847598,2
M3_7,1891.002195,1
M3_8,1867.837113,2
M4_2,1866.313094,1
M4_3,1867.837113,1
M4_4,1879.724457,2
M4_5,1879.11485,3
M4_6,1858.693002,1
M4_7,1873.018776,1
M4_9,1882.467691,1
